"","id","finish_date","year","street_number","street","cross_street","year_installed","material","diameter","leak_type","lon","lat","city","agency"
"1772",1820,"2014-02-05",2014,136,"ALVARADO RD","BRIDGE RD",1927,"STEEL","16","SMALL BLOWOUT HOLE <= 1""",-122.239080836901,37.8568871231478,"BERKELEY","EBMUD"
"1773",1821,"2014-10-01",2014,136,"ALVARADO RD","BRIDGE",1927,"STEEL","16","SMALL BLOWOUT HOLE <= 1""",-122.239080836901,37.8568871231478,"BERKELEY","EBMUD"
"1774",1822,"2010-09-25",2010,1150,"ARCH ST","OAK ST",1985,"STEEL","8","LARGE BLOWOUT HOLE > 1""",-122.26572407379,37.8877142811196,"BERKELEY","EBMUD"
"1775",1823,"2010-02-28",2010,1156,"ARCH ST","OAK ST",1954,"STEEL","6","FULL CIRCUMFERENCE BREAK",-122.265706491666,37.8875579790833,"BERKELEY","EBMUD"
"1776",1824,"2010-01-06",2010,1340,"ARCH ST","ROSE ST",1953,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.26517010625,37.8829294766445,"BERKELEY","EBMUD"
"1777",1825,"2014-01-02",2014,1340,"ARCH ST","ROSE ST",1953,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.26517010625,37.8829294766445,"BERKELEY","EBMUD"
"1778",1826,"2010-03-11",2010,10,"ARDEN RD","PANORAMIC",1950,"CAST IRON","4","LONGITUDINAL SPLIT",-122.247550882664,37.8686445878098,"BERKELEY","EBMUD"
"1779",1827,"2013-01-17",2013,1601,"ASHBY AVE","CALIFORNIA ST",1925,"CAST IRON","6","SMALL BLOWOUT HOLE <= 1""",-122.276682130837,37.8536604423777,"BERKELEY","EBMUD"
"1780",1828,"2013-01-21",2013,1601,"ASHBY AVE","CALIFORNIA",1925,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.276682130837,37.8536604423777,"BERKELEY","EBMUD"
"1781",1829,"2014-05-28",2014,2014,"ASHBY AVE","ADELINE ST",1928,"CAST IRON","6","LONGITUDINAL SPLIT",-122.268256601819,37.8549460107114,"BERKELEY","EBMUD"
"1782",1830,"2012-12-13",2012,NA,"ASHBY AVE","MABEL ST",1929,"CAST IRON","6","SMALL BLOWOUT HOLE <= 1""",-122.283709672933,37.8527387353655,"BERKELEY","EBMUD"
"1783",1831,"2014-05-18",2014,NA,"ASHBY AVE","7TH ST",1927,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.291088423112,37.8510174618934,"BERKELEY","EBMUD"
"1784",1832,"2013-12-12",2013,2727,"ASHBY PL","ASHBY AVE",1926,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.252171550744,37.8577154713593,"BERKELEY","EBMUD"
"1785",1833,"2014-10-03",2014,140,"AVENIDA DR","FAIRLAWN DR",1947,"CAST IRON","6","LONGITUDINAL SPLIT",-122.249219495299,37.8840209140035,"BERKELEY","EBMUD"
"1786",1834,"2011-12-04",2011,1122,"BANCROFT WAY","BYRON ST",1939,"CAST IRON","8","SMALL BLOWOUT HOLE <= 1""",-122.289581795787,37.8646808030335,"BERKELEY","EBMUD"
"1787",1835,"2013-12-08",2013,1700,"BANCROFT WAY","MCGEE AVE",1938,"CAST IRON","8","FULL CIRCUMFERENCE BREAK",-122.276846751864,37.8663288227892,"BERKELEY","EBMUD"
"1788",1836,"2012-01-03",2012,2190,"BANCROFT WAY","FULTON ST",1952,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.26627363475,37.867701443205,"BERKELEY","EBMUD"
"1789",1837,"2011-01-25",2011,1510,"BELVEDERE ST","ROSE STREET",1927,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.290026055553,37.8763505999332,"BERKELEY","EBMUD"
"1790",1838,"2010-03-07",2010,2933,"BENVENUE AVE","ASHBY AVE",1949,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.254195637027,37.8571662927567,"BERKELEY","EBMUD"
"1791",1839,"2012-09-07",2012,3039,"BENVENUE AVE","WOOLSEY ST",1933,"CAST IRON","4","LONGITUDINAL SPLIT",-122.253730869643,37.8545033406186,"BERKELEY","EBMUD"
"1792",1840,"2011-06-19",2011,1727,"BERKELEY WAY","GRANT ST",1927,"CAST IRON","4","LARGE BLOWOUT HOLE > 1""",-122.276399135212,37.8720927758519,"BERKELEY","EBMUD"
"1793",1841,"2014-06-17",2014,1833,"BERRYMAN ST","JOSEPHINE ST",1934,"CAST IRON","6","LONGITUDINAL SPLIT",-122.275016151271,37.8832324481361,"BERKELEY","EBMUD"
"1794",1842,"2014-10-06",2014,1727,"BEVERLY PL","HOPKINS ST",1952,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.277209447719,37.8848063335315,"BERKELEY","EBMUD"
"1795",1843,"2011-01-02",2011,1771,"BEVERLY PL","HOPKINS ST",1952,"STEEL","6","FULL CIRCUMFERENCE BREAK",-122.276817861539,37.8845183194007,"BERKELEY","EBMUD"
"1796",1844,"2013-07-11",2013,1314,"BLAKE ST","MABEL ST",1940,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.284750764041,37.8607408516724,"BERKELEY","EBMUD"
"1797",1845,"2012-01-13",2012,1621,"BLAKE ST","CALIFORNIA  STREET",1940,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.277453536931,37.8618616880753,"BERKELEY","EBMUD"
"1798",1846,"2014-12-01",2014,1638,"BLAKE ST","CALIFORNIA ST",1940,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.276665318143,37.8617883954864,"BERKELEY","EBMUD"
"1799",1847,"2014-07-18",2014,1716,"BLAKE ST","MCGEE AVE",1933,"CAST IRON","6","LONGITUDINAL SPLIT",-122.275466818299,37.8619437531078,"BERKELEY","EBMUD"
"1800",1848,"2010-04-02",2010,1721,"BLAKE ST","DWIGHT WAY",1933,"CAST IRON","6","LONGITUDINAL SPLIT",-122.275315366633,37.8621300628333,"BERKELEY","EBMUD"
"1801",1849,"2013-01-21",2013,2201,"BONAR ST","ML KING JR WAY",1958,"ASBESTOS CEMENT","6","FULL CIRCUMFERENCE BREAK",-122.286448258608,37.8669256488865,"BERKELEY","EBMUD"
"1802",1850,"2012-09-07",2012,1605,"BONITA AVE","CEDAR ST",1939,"CAST IRON","4","LONGITUDINAL SPLIT",-122.272406670922,37.8777231685316,"BERKELEY","EBMUD"
"1803",1851,"2011-08-21",2011,50,"BONNIE LN","HILLDALE AVE",1950,"CAST IRON","4","LONGITUDINAL SPLIT",-122.265055414959,37.8960304343021,"BERKELEY","EBMUD"
"1804",1852,"2013-10-17",2013,2455,"BOWDITCH ST","HASTE ST",NA,"CAST IRON","4","FULL CIRCUMFERENCE BREAK",-122.256202193935,37.8661293714394,"BERKELEY","EBMUD"
"1805",1853,"2010-07-28",2010,2545,"BUENA VISTA WAY","LA VEREDA",1936,"CAST IRON","4","LONGITUDINAL SPLIT",-122.259743803335,37.8810629670898,"BERKELEY","EBMUD"
"1806",1854,"2011-11-22",2011,2717,"BUENA VISTA WAY","LA LOMA",1928,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.257456466869,37.8816436132986,"BERKELEY","EBMUD"
"1807",1855,"2012-04-13",2012,2717,"BUENA VISTA WAY","LA LOMA AVE",1928,"CAST IRON","6","SMALL BLOWOUT HOLE <= 1""",-122.257456466869,37.8816436132986,"BERKELEY","EBMUD"
"1808",1856,"2010-10-06",2010,2718,"BUENA VISTA WAY","GREENWOOD TER",1928,"CAST IRON","6","LONGITUDINAL SPLIT",-122.257572237265,37.8815567420961,"BERKELEY","EBMUD"
"1809",1857,"2012-04-03",2012,2718,"BUENA VISTA WAY","MAYBECK TWIN DR",1928,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.257572237265,37.8815567420961,"BERKELEY","EBMUD"
"1810",1858,"2012-05-18",2012,2718,"BUENA VISTA WAY","LA LOMA",1928,"CAST IRON","6","LONGITUDINAL SPLIT",-122.257572237265,37.8815567420961,"BERKELEY","EBMUD"
"1811",1859,"2010-05-12",2010,2750,"BUENA VISTA WAY","MAYBECK TWIN DR",1928,"CAST IRON","6","JOINT FAILURE",-122.257070648935,37.8814488384103,"BERKELEY","EBMUD"
"1812",1860,"2012-07-29",2012,3025,"BUENA VISTA WAY","DEL MAR AVE",1930,"CAST IRON","6","LONGITUDINAL SPLIT",-122.255210698333,37.8836903604691,"BERKELEY","EBMUD"
"1813",1861,"2011-09-21",2011,1308,"BURNETT ST","MABEL",1955,"ASBESTOS CEMENT","6","SMALL BLOWOUT HOLE <= 1""",-122.283494905831,37.8536044668721,"BERKELEY","EBMUD"
"1814",1862,"2012-03-22",2012,2303,"CALIFORNIA ST","BANCROFT WAY",NA,"ASBESTOS CEMENT","6","LARGE BLOWOUT HOLE > 1""",-122.279103449783,37.8656521152841,"BERKELEY","EBMUD"
"1815",1863,"2013-01-02",2013,830,"CAMELIA ST","6TH STREET",1952,"ASBESTOS CEMENT","6","FULL CIRCUMFERENCE BREAK",-122.300555004819,37.8774074334707,"BERKELEY","EBMUD"
"1816",1864,"2014-12-01",2014,913,"CAMELIA ST","8TH ST",1933,"CAST IRON","6","LONGITUDINAL SPLIT",-122.299028670066,37.8780569480703,"BERKELEY","EBMUD"
"1817",1865,"2014-12-16",2014,917,"CAMELIA ST","8TH ST",1933,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.298959654317,37.8780689859944,"BERKELEY","EBMUD"
"1818",1866,"2011-11-10",2011,1285,"CAMPUS DR","GLENDALE AVE",1930,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.254452240251,37.8857644306873,"BERKELEY","EBMUD"
"1819",1867,"2014-11-12",2014,1480,"CAMPUS DR","AVENIDA DR",1930,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.252327762378,37.8822416653633,"BERKELEY","EBMUD"
"1820",1868,"2012-08-06",2012,1521,"CAMPUS DR","PARNASSUS RD",1931,"CAST IRON","4","JOINT FAILURE",-122.252124829451,37.8811322421562,"BERKELEY","EBMUD"
"1821",1869,"2010-05-11",2010,1775,"CAPISTRANO AVE","COLUSA AVE",1930,"CAST IRON","6","SMALL BLOWOUT HOLE <= 1""",-122.281697385991,37.8934624490243,"BERKELEY","EBMUD"
"1822",1870,"2013-11-20",2013,1775,"CAPISTRANO AVE","COLUSA AVE",1930,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.281697385991,37.8934624490243,"BERKELEY","EBMUD"
"1823",1871,"2010-06-24",2010,1827,"CAPISTRANO AVE","COLUSA AVE",1930,"CAST IRON","6","LONGITUDINAL SPLIT",-122.280307198308,37.894172835384,"BERKELEY","EBMUD"
"1824",1872,"2014-02-10",2014,1937,"CAPISTRANO AVE","CONTRA COSTA AVE",1924,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.277284435858,37.895896598957,"BERKELEY","EBMUD"
"1825",1873,"2010-08-17",2010,1859,"CATALINA AVE","STATION PL",1950,"CAST IRON","4","FULL CIRCUMFERENCE BREAK",-122.27838348256,37.8925812158057,"BERKELEY","EBMUD"
"1826",1874,"2012-09-05",2012,735,"CEDAR ST","4TH ST",1923,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.301785954927,37.8738700494774,"BERKELEY","EBMUD"
"1827",1875,"2011-10-26",2011,1013,"CEDAR ST","10TH STREET",1934,"CAST IRON","6","JOINT FAILURE",-122.295827576019,37.8749441116289,"BERKELEY","EBMUD"
"1828",1876,"2013-05-23",2013,1310,"CEDAR ST","CHESTNUT ST",1937,"CAST IRON","4","LARGE BLOWOUT HOLE > 1""",-122.287988817578,37.8759337240991,"BERKELEY","EBMUD"
"1829",1877,"2010-04-14",2010,2471,"CEDAR ST","EUCLID AVE",1925,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.261719131154,37.8794568961984,"BERKELEY","EBMUD"
"1830",1878,"2012-06-26",2012,NA,"CEDAR ST","MARTIN LUTHER KING",NA,"STEEL","6","SMALL BLOWOUT HOLE <= 1""",-122.273698138232,37.8778218990462,"BERKELEY","EBMUD"
"1831",1879,"2013-06-17",2013,NA,"CENTER ST","SHATTUCK AVE",1966,"STEEL","4","LONGITUDINAL SPLIT",-122.267795319073,37.8703457889492,"BERKELEY","EBMUD"
"1832",1880,"2012-08-09",2012,725,"CHANNING WAY","4TH ST",1910,"ASBESTOS CEMENT","8","JOINT FAILURE",-122.297855669718,37.8616792953139,"BERKELEY","EBMUD"
"1833",1881,"2011-09-30",2011,913,"CHANNING WAY","8TH ST",1940,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.294024852329,37.8621522995081,"BERKELEY","EBMUD"
"1834",1882,"2012-11-29",2012,913,"CHANNING WAY","8TH ST",1940,"CAST IRON","6","LONGITUDINAL SPLIT",-122.294024852329,37.8621522995081,"BERKELEY","EBMUD"
"1835",1883,"2011-06-01",2011,917,"CHANNING WAY","7TH ST",1940,"CAST IRON","8","FULL CIRCUMFERENCE BREAK",-122.293876591545,37.8621820188175,"BERKELEY","EBMUD"
"1836",1884,"2011-12-22",2011,919,"CHANNING WAY","8TH ST",1940,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.293773420666,37.8622138000485,"BERKELEY","EBMUD"
"1837",1885,"2014-06-23",2014,1626,"CHANNING WAY","JEFFERSON AVE",1960,"ASBESTOS CEMENT","6","FULL CIRCUMFERENCE BREAK",-122.277979181187,37.8644247547379,"BERKELEY","EBMUD"
"1838",1886,"2012-09-25",2012,1918,"CHANNING WAY","ML KING JR WAY",1938,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.271272881663,37.8652094418341,"BERKELEY","EBMUD"
"1839",1887,"2010-06-28",2010,1500,"CHESTNUT ST","ROSE ST",1928,"CAST IRON","6","SMALL BLOWOUT HOLE <= 1""",-122.289116980318,37.8765896042356,"BERKELEY","EBMUD"
"1840",1888,"2013-12-30",2013,1500,"CHESTNUT ST","ROSE ST",1928,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.289116980318,37.8765896042356,"BERKELEY","EBMUD"
"1841",1889,"2012-09-23",2012,697,"COLUSA AVE","VINCENTE AVE",1908,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.282745962637,37.8948364931638,"BERKELEY","EBMUD"
"1842",1890,"2010-01-24",2010,1121,"COLUSA AVE","SONOMA AVE",1952,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.278105490625,37.8864766156842,"BERKELEY","EBMUD"
"1843",1891,"2011-10-25",2011,791,"CONTRA COSTA AVE","YOSEMITE STEPS",1937,"CAST IRON","10","SMALL BLOWOUT HOLE <= 1""",-122.276221663507,37.8947946495098,"BERKELEY","EBMUD"
"1844",1892,"2013-11-16",2013,1200,"CORNELL AVE","DARTSMOUTH ST",1949,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.293854014721,37.8827529428515,"BERKELEY","EBMUD"
"1845",1893,"2011-07-20",2011,1221,"CORNELL AVE","STANNAGE AVE",1949,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.293448558439,37.8820366979597,"BERKELEY","EBMUD"
"1846",1894,"2012-01-25",2012,1461,"CORNELL AVE","HOPKINS ST",1947,"CAST IRON","4","FULL CIRCUMFERENCE BREAK",-122.29188560565,37.8771574302989,"BERKELEY","EBMUD"
"1847",1895,"2010-04-06",2010,1615,"CORNELL AVE","CEDAR ST",1937,"CAST IRON","4","LONGITUDINAL SPLIT",-122.291230288571,37.8751320109105,"BERKELEY","EBMUD"
"1848",1896,"2012-12-28",2012,2340,"CORONA CT","ARCH ST",1968,"STEEL","6","JOINT FAILURE",-122.264742929782,37.8882837810701,"BERKELEY","EBMUD"
"1849",1897,"2012-10-16",2012,782,"CRAGMONT AVE","POPLAR PATH",1932,"CAST IRON","6","LONGITUDINAL SPLIT",-122.268182184139,37.8958957979646,"BERKELEY","EBMUD"
"1850",1898,"2010-11-05",2010,836,"CRAGMONT AVE","ROCK",1932,"CAST IRON","4","SMALL BLOWOUT HOLE <= 1""",-122.267190613116,37.8951580209895,"BERKELEY","EBMUD"
"1851",1899,"2011-06-16",2011,836,"CRAGMONT AVE","ROCK LN",1932,"CAST IRON","6","LONGITUDINAL SPLIT",-122.267190613116,37.8951580209895,"BERKELEY","EBMUD"
"1852",1900,"2013-02-07",2013,1166,"CRAGMONT AVE","SHASTA RD",1932,"STEEL","1","SMALL BLOWOUT HOLE <= 1""",-122.257819046614,37.8886122123249,"BERKELEY","EBMUD"
"1853",1901,"2013-07-11",2013,614,"CRESTON RD","ROSEMONT AVE",1931,"CAST IRON","6","SMALL BLOWOUT HOLE <= 1""",-122.265953697242,37.9014418334977,"BERKELEY","EBMUD"
"1854",1902,"2010-01-28",2010,2435,"CURTIS ST","DWIGHT WAY",1940,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.287878386093,37.8618554427605,"BERKELEY","EBMUD"
"1855",1903,"2011-05-27",2011,2500,"DANA ST","DWIGHT WAY",NA,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.261119255336,37.8646910336709,"BERKELEY","EBMUD"
"1856",1904,"2012-09-17",2012,2501,"DANA ST",NA,1947,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.260528572065,37.8646201817743,"BERKELEY","EBMUD"
"1857",1905,"2010-01-23",2010,1531,"DELAWARE ST","CALIFORNIA ST",1952,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.280922228926,37.8732964341074,"BERKELEY","EBMUD"
"1858",1906,"2013-07-25",2013,1543,"DELAWARE ST","CALIFORNIA ST",1952,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.280348804042,37.873370998774,"BERKELEY","EBMUD"
"1859",1907,"2010-08-24",2010,2120,"DELAWARE ST","DELAWARE ST",1927,"CAST IRON","4","FULL CIRCUMFERENCE BREAK",-122.268112105481,37.8747715723081,"BERKELEY","EBMUD"
"1860",1908,"2010-03-15",2010,2125,"DELAWARE ST","SHATTUCK",1927,"CAST IRON","4","SMALL BLOWOUT HOLE <= 1""",-122.26792257061,37.8749611881263,"BERKELEY","EBMUD"
"1861",1909,"2010-08-25",2010,2125,"DELAWARE ST","WALNUT ST",1927,"CAST IRON","4","FULL CIRCUMFERENCE BREAK",-122.26792257061,37.8749611881263,"BERKELEY","EBMUD"
"1862",1910,"2011-06-17",2011,2125,"DELAWARE ST","WALNUT ST",1927,"CAST IRON","4","FULL CIRCUMFERENCE BREAK",-122.26792257061,37.8749611881263,"BERKELEY","EBMUD"
"1863",1911,"2013-11-13",2013,1331,"DERBY ST","ACTON ST",1935,"CAST IRON","4","FULL CIRCUMFERENCE BREAK",-122.283353278278,37.858380503515,"BERKELEY","EBMUD"
"1864",1912,"2013-01-24",2013,2735,"DURANT AVE","COLLEGE AVE",1939,"CAST IRON","6","LONGITUDINAL SPLIT",-122.252921338425,37.8686364440355,"BERKELEY","EBMUD"
"1865",1913,"2014-09-19",2014,1455,"DWIGHT WAY","SACRAMENTO ST",1931,"CAST IRON","8","LONGITUDINAL SPLIT",-122.281026746663,37.8622006581525,"BERKELEY","EBMUD"
"1866",1914,"2011-03-17",2011,1515,"DWIGHT WAY","SACRAMENTO ST",1940,"CAST IRON","6","LONGITUDINAL SPLIT",-122.280666056869,37.862329700357,"BERKELEY","EBMUD"
"1867",1915,"2011-04-13",2011,1520,"DWIGHT WAY","SACRAMENTO ST",1940,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.28038569423,37.8621965875098,"BERKELEY","EBMUD"
"1868",1916,"2011-04-05",2011,1524,"DWIGHT WAY","SPAULDING",1940,"CAST IRON","6","LONGITUDINAL SPLIT",-122.28010248813,37.8622338167081,"BERKELEY","EBMUD"
"1869",1917,"2012-05-01",2012,1701,"DWIGHT WAY","MC GEE AVE",1940,"CAST IRON","8","LONGITUDINAL SPLIT",-122.276462625555,37.8628736711282,"BERKELEY","EBMUD"
"1870",1918,"2011-07-13",2011,1937,"DWIGHT WAY","MILVIA ST",1933,"CAST IRON","6","LONGITUDINAL SPLIT",-122.270241987723,37.8636784649647,"BERKELEY","EBMUD"
"1871",1919,"2012-04-12",2012,2001,"DWIGHT WAY","MILVIA STREET",1938,"CAST IRON","6","LONGITUDINAL SPLIT",-122.268732583376,37.8638741200179,"BERKELEY","EBMUD"
"1872",1920,"2013-04-25",2013,2180,"DWIGHT WAY","FULTON ST",1949,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.265291865348,37.864007987938,"BERKELEY","EBMUD"
"1873",1921,"2013-01-04",2013,2324,"DWIGHT WAY","DANA ST",NA,"CAST IRON","6","SMALL BLOWOUT HOLE <= 1""",-122.261803138233,37.8646011805822,"BERKELEY","EBMUD"
"1874",1922,"2012-08-30",2012,2434,"DWIGHT WAY","TELEGRAPH AVE",NA,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.259067466533,37.8649550775912,"BERKELEY","EBMUD"
"1875",1923,"2011-05-26",2011,2703,"DWIGHT WAY","COLLEGE",NA,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.253710640207,37.8658202923076,"BERKELEY","EBMUD"
"1876",1924,"2012-10-10",2012,2963,"DWIGHT WAY","HILLSIDE AVE",1935,"CAST IRON","6","JOINT FAILURE",-122.247216264613,37.866204927009,"BERKELEY","EBMUD"
"1877",1925,"2013-05-06",2013,2963,"DWIGHT WAY","SPORT LN",1935,"CAST IRON","6","SMALL BLOWOUT HOLE <= 1""",-122.247216264613,37.866204927009,"BERKELEY","EBMUD"
"1878",1926,"2013-04-17",2013,2997,"DWIGHT WAY","FERNWALD RD",1935,"CAST IRON","4","FULL CIRCUMFERENCE BREAK",-122.246510394623,37.8662455782736,"BERKELEY","EBMUD"
"1879",1927,"2011-01-11",2011,111,"EL CAMINO REAL NA","THE UPLANDS",1935,"CAST IRON","6","SMALL BLOWOUT HOLE <= 1""",-122.240361662343,37.8540363549769,"BERKELEY","EBMUD"
"1880",1928,"2013-06-24",2013,2819,"ELLSWORTH ST","OREGON ST",1940,"CAST IRON","6","JOINT FAILURE",-122.261510358961,37.8583951152241,"BERKELEY","EBMUD"
"1881",1929,"2011-06-29",2011,819,"ENSENADA AVE","CAPISTRANO AVE",1931,"CAST IRON","8","LONGITUDINAL SPLIT",-122.283357966024,37.8928990372552,"BERKELEY","EBMUD"
"1882",1930,"2013-05-07",2013,819,"ENSENADA AVE","CAPISTRANO AVE",1931,"CAST IRON","8","LARGE BLOWOUT HOLE > 1""",-122.283357966024,37.8928990372552,"BERKELEY","EBMUD"
"1883",1931,"2013-07-14",2013,819,"ENSENADA AVE","CAPISTRANO AVE",1931,"CAST IRON","8","FULL CIRCUMFERENCE BREAK",-122.283357966024,37.8928990372552,"BERKELEY","EBMUD"
"1884",1932,"2013-05-20",2013,571,"EUCLID AVE","GRIZZLY PEAK BLVD",1925,"CAST IRON","4","LONGITUDINAL SPLIT",-122.267649826415,37.901630723919,"BERKELEY","EBMUD"
"1885",1933,"2011-01-13",2011,771,"EUCLID AVE","POPLAR ST",1925,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.265482899822,37.8968068712029,"BERKELEY","EBMUD"
"1886",1934,"2014-03-03",2014,1220,"EUCLID AVE","EUNICE ST",1965,"STEEL","6","JOINT FAILURE",-122.262738125804,37.8854460977424,"BERKELEY","EBMUD"
"1887",1935,"2010-01-31",2010,1245,"EUCLID AVE","EUNICE ST",1965,"STEEL","6","LONGITUDINAL SPLIT",-122.262500894713,37.885672123132,"BERKELEY","EBMUD"
"1888",1936,"2011-03-28",2011,2415,"EUNICE ST","EUCLID AVE",1988,"STEEL","8","FULL CIRCUMFERENCE BREAK",-122.262870431816,37.8866389600766,"BERKELEY","EBMUD"
"1889",1937,"2010-10-21",2010,2425,"EUNICE ST","EUCLID ST",1954,"CAST IRON","6","JOINT FAILURE",-122.262673475478,37.8866638721846,"BERKELEY","EBMUD"
"1890",1938,"2011-03-02",2011,2425,"EUNICE ST","LAUREL ST",1988,"STEEL","8","FULL CIRCUMFERENCE BREAK",-122.262673475478,37.8866638721846,"BERKELEY","EBMUD"
"1891",1939,"2013-09-26",2013,2425,"EUNICE ST","EUCLID AVE",1988,"STEEL","8","JOINT FAILURE",-122.262673475478,37.8866638721846,"BERKELEY","EBMUD"
"1892",1940,"2010-05-10",2010,1236,"EVELYN AVE","GILMAN ST",1940,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.291777129775,37.8818505545841,"BERKELEY","EBMUD"
"1893",1941,"2012-02-27",2012,13,"FAIRLAWN DR","GLENDALE PATH",1930,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.252725116343,37.8860070539674,"BERKELEY","EBMUD"
"1894",1942,"2013-07-26",2013,221,"FAIRLAWN DR","AVENIDA DR",1958,"CAST IRON","8","JOINT FAILURE",-122.250067056286,37.8842500785525,"BERKELEY","EBMUD"
"1895",1943,"2011-08-08",2011,225,"FAIRLAWN DR","AVENIDA DR",1958,"CAST IRON","8","LARGE BLOWOUT HOLE > 1""",-122.250036297504,37.8841214370839,"BERKELEY","EBMUD"
"1896",1944,"2011-02-26",2011,21,"FLORIDA AVE","BOYNTON AVE",1925,"CAST IRON","6","FULL CIRCUMFERENCE BREAK",-122.273539916514,37.9000592407232,"BERKELEY","EBMUD"
"1897",1945,"2013-07-16",2013,NA,"FOLGER AVE","SAN PABLO AVE",NA,"CAST IRON","8","LARGE BLOWOUT HOLE > 1""",-122.286230548853,37.8509674216456,"BERKELEY","EBMUD"
"1898",1946,"2012-04-23",2012,2900,"FOREST AVE","PIEDMONT AVE",1950,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.248773602595,37.8615673361991,"BERKELEY","EBMUD"
"1899",1947,"2010-11-21",2010,120,"FOREST LN","KELLER AVE",1936,"CAST IRON","6","LARGE BLOWOUT HOLE > 1""",-122.261166992415,37.8953275969204,"BERKELEY","EBMUD"
"1900",1948,"2011-08-09",2011,1607,"FRANCISCO ST","CALIFORNIA ST",1933,"CAST IRON","4","SMALL BLOWOUT HOLE <= 1""",-122.279700642143,37.8743750930027,"BERKELEY","EBMUD"
"1901",1949,"2011-09-12",2011,1607,"FRANCISCO ST","CALIFORNIA ST",1933,"CAST IRON","4","LARGE BLOWOUT HOLE > 1""",-122.279700642143,37.8743750930027,"BERKELEY","EBMUD"
"1902",1950,"2013-10-04",2013,NA,"FRONTAGE RD","GILMAN ST",1954,"ASBESTOS CEMENT","12","JOINT FAILURE",-122.307978963353,37.8780247060843,"BERKELEY","EBMUD"
"1903",1951,"2013-09-18",2013,1252,"GILMAN ST","EVELYN AVE",1954,"CAST IRON","6","JOINT FAILURE",-122.2913980693,37.8812217991013,"BERKELEY","EBMUD"
"1904",1952,"2012-07-11",2012,1321,"GILMAN ST","NEILSON ST",1939,"CAST IRON","6","LONGITUDINAL SPLIT",-122.289018964513,37.8814363846786,"BERKELEY","EBMUD"
"1905",1953,"2014-08-08",2014,1411,"GILMAN ST","HOPKINS ST",1934,"CAST IRON","6","LONGITUDINAL SPLIT",-122.28494756871,37.880308610429,"BERKELEY","EBMUD"
"1906",1954,"2011-07-14",2011,1225,"GLEN AVE",NA,1988,"STEEL","8","JOINT FAILURE",-122.264159341954,37.8854578491666,"BERKELEY","EBMUD"
"1907",1955,"2010-06-01",2010,1237,"GLEN AVE","SUMMER ST",1957,"STEEL","8","JOINT FAILURE",-122.264095039188,37.884939673276,"BERKELEY","EBMUD"
"1908",1956,"2010-10-16",2010,2323,"GLEN AVE","ARCH ST",1957,"STEEL","8","LARGE BLOWOUT HOLE > 1""",-122.264422669385,37.8845804506978,"BERKELEY","EBMUD"
